id,inflo_chnl_id,type,reg_dts,value,intent_id
19595249,db4ed9f93b5a,REQUEST,2026-05-03 00:01:47.592104 +00:00,"{""type"":""GREET_RESPOND_NORMAL"",""message"":""""}",
19595250,db4ed9f93b5a,RESPONSE,2026-05-03 00:01:47.617687 +00:00,"{""type"":""INTRO_MESG"",""content"":[{""type"":""text"",""value"":""안녕하세요 고객님! EM별내점입니다.\n영업시간: 10:00~23:00\n휴점일: 5/13(수), 5/27(수), 6/10(수), 6/24(수) 입니다.\n무엇을 도와드릴까요?""},{""type"":""card"",""value"":[{""type"":""buttons"",""value"":[{""action"":""dialogFlowButton"",""label"":""상품"",""value"":""1/5"",""data"":null,""sessionId"":""cd6d8d7c-f40a-4dc1-bd07-885cf0a2fd9e"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""행사"",""value"":""13/4"",""data"":null,""sessionId"":""cd6d8d7c-f40a-4dc1-bd07-885cf0a2fd9e"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""매장안내"",""value"":""26/3"",""data"":null,""sessionId"":""cd6d8d7c-f40a-4dc1-bd07-885cf0a2fd9e"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""교환/환불"",""value"":""41/6"",""data"":null,""sessionId"":""cd6d8d7c-f40a-4dc1-bd07-885cf0a2fd9e"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""계산"",""value"":""50/2"",""data"":null,""sessionId"":""cd6d8d7c-f40a-4dc1-bd07-885cf0a2fd9e"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""주차"",""value"":""60/4"",""data"":null,""sessionId"":""cd6d8d7c-f40a-4dc1-bd07-885cf0a2fd9e"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""상품권"",""value"":""67/4"",""data"":null,""sessionId"":""cd6d8d7c-f40a-4dc1-bd07-885cf0a2fd9e"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""이마티콘"",""value"":""85/4"",""data"":null,""sessionId"":""cd6d8d7c-f40a-4dc1-bd07-885cf0a2fd9e"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""포인트"",""value"":""90/2"",""data"":null,""sessionId"":""cd6d8d7c-f40a-4dc1-bd07-885cf0a2fd9e"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""쿠폰"",""value"":""105/5"",""data"":null,""sessionId"":""cd6d8d7c-f40a-4dc1-bd07-885cf0a2fd9e"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""와인그랩"",""value"":""186/4"",""data"":null,""sessionId"":""cd6d8d7c-f40a-4dc1-bd07-885cf0a2fd9e"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""오더픽"",""value"":""150/4"",""data"":null,""sessionId"":""cd6d8d7c-f40a-4dc1-bd07-885cf0a2fd9e"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""디지털그랩"",""value"":""203/4"",""data"":null,""sessionId"":""cd6d8d7c-f40a-4dc1-bd07-885cf0a2fd9e"",""badge"":null}]}]}]}",
19595251,df71914043ea,REQUEST,2026-05-03 00:01:51.559599 +00:00,"{""type"":""GREET_RESPOND_NORMAL"",""message"":""""}",
19595252,df71914043ea,RESPONSE,2026-05-03 00:01:51.585933 +00:00,"{""type"":""INTRO_MESG"",""content"":[{""type"":""text"",""value"":""안녕하세요 고객님! EM자양점입니다.\n영업시간: 10:00~23:00\n휴점일: 5/10(일), 5/24(일), 6/14(일), 6/28(일) 입니다.\n무엇을 도와드릴까요?""},{""type"":""card"",""value"":[{""type"":""buttons"",""value"":[{""action"":""dialogFlowButton"",""label"":""상품"",""value"":""1/5"",""data"":null,""sessionId"":""591ade79-049e-4d0a-8f14-95c0f45b88d3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""행사"",""value"":""13/4"",""data"":null,""sessionId"":""591ade79-049e-4d0a-8f14-95c0f45b88d3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""매장안내"",""value"":""26/3"",""data"":null,""sessionId"":""591ade79-049e-4d0a-8f14-95c0f45b88d3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""교환/환불"",""value"":""41/6"",""data"":null,""sessionId"":""591ade79-049e-4d0a-8f14-95c0f45b88d3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""계산"",""value"":""50/2"",""data"":null,""sessionId"":""591ade79-049e-4d0a-8f14-95c
19595254,6b10f0071861,RESPONSE,2026-05-03 00:04:21.554969 +00:00,"{""type"":""INTRO_MESG"",""content"":[{""type"":""text"",""value"":""안녕하세요 고객님! EM남양주점입니다.\n영업시간: 10:00~23:00\n휴점일: 5/13(수), 5/27(수), 6/10(수), 6/24(수) 입니다.\n무엇을 도와드릴까요?""},{""type"":""card"",""value"":[{""type"":""buttons"",""value"":[{""action"":""dialogFlowButton"",""label"":""상품"",""value"":""1/5"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""행사"",""value"":""13/4"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""매장안내"",""value"":""26/3"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""교환/환불"",""value"":""41/6"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""계산"",""value"":""50/2"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""주차"",""value"":""60/4"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""상품권"",""value"":""67/4"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""이마티콘"",""value"":""85/4"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""포인트"",""value"":""90/2"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""쿠폰"",""value"":""105/5"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""와인그랩"",""value"":""186/4"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""오더픽"",""value"":""150/4"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""디지털그랩"",""value"":""203/4"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null}]}]}]}",
19595255,6b10f0071861,REQUEST,2026-05-03 00:04:37.599948 +00:00,"{""type"":""DIALOG_FLOW_EVENT"",""message"":""교환/환불"",""value"":""41/6"",""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b""}",
19595256,6b10f0071861,RESPONSE,2026-05-03 00:04:37.608756 +00:00,"{""type"":""BOT"",""content"":[{""type"":""text"",""value"":""질문을 선택해 주세요.""},{""type"":""card"",""value"":[{""type"":""buttons"",""value"":[{""action"":""dialogFlowButton"",""label"":""교환/환불안내"",""value"":""42/0"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""무실물/무방문 환불"",""value"":""43/0"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""상품권 환불"",""value"":""44/0"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""결제취소 입금"",""value"":""45/0"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""쓱배송 점포 환불"",""value"":""46/0"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""영수증"",""value"":""47/2"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null}]}]}],""quickReplies"":[{""action"":""dialogFlowButton"",""label"":""처음으로"",""value"":""Z9999.Default"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null}]}",
19595257,6b10f0071861,REQUEST,2026-05-03 00:04:48.331307 +00:00,"{""type"":""DIALOG_FLOW_EVENT"",""message"":""교환/환불안내"",""value"":""42/0"",""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b""}",
19595258,6b10f0071861,RESPONSE,2026-05-03 00:04:48.338086 +00:00,"{""type"":""BOT"",""content"":[{""type"":""card"",""value"":[{""type"":""text"",""value"":""교환/환불은 상품을 개봉하지 않은 정상상품에 한 해 영수증 및 결제수단 지참 후 구매하신 매장에 방문하시기 바랍니다\n오더픽, 와인그랩,배달상품 등은 제외됩니다 (이마트앱전용상품)\n구입 후 30일 이내이며, 신선식품 및 냉동/냉장 식품은 7일 이내입니다.\n구매 시 사용한 결제 수단으로 환불되며, 영수증을 분실하신 경우 결제하신 신용카드 혹은 포인트 적립 구매 내역 확인 후 교환 및 환불 가능합니다.\n* 상품권 환불의 경우 영수증 필 참 후 30일 이내 방문하시면 가능합니다\n* 교환 가능한 정상 제품이 없는 경우 환불만 가능합니다.\n  (배송 전용 상품은 매장 교환 불가)\n\n* 대기없이 간편하게 환불을 접수할 수 있는 빠른환불 서비스를 운영 중입니다. 아래 버튼을 클릭하여 지금 바로 접수해 보세요!""},{""type"":""buttons"",""value"":[{""action"":""webLink"",""label"":""빠른 환불"",""value"":""https://quickrefund.emart.com/?user_id=f%2BKjas41C3ANP1EcZqEz2g%3D%3D&brch_id=1069&ticket_id=0"",""data"":null,""sessionId"":null,""badge"":null}]}]}],""quickReplies"":[{""action"":""dialogFlowButton"",""label"":""처음으로"",""value"":""Z9999.Default"",""data"":null,""sessionId"":""501bc9ec-653e-4aa5-9801-5de792374b5b"",""badge"":null}]}",
19595259,4826e881350c,REQUEST,2026-05-03 00:05:25.915243 +00:00,"{""type"":""GREET_RESPOND_NORMAL"",""message"":""""}",
19595260,4826e881350c,RESPONSE,2026-05-03 00:05:25.945225 +00:00,"{""type"":""INTRO_MESG"",""content"":[{""type"":""text"",""value"":""안녕하세요 고객님! EM둔산점입니다.\n영업시간: 10:00~23:00\n휴점일: 5/10(일), 5/24(일) 입니다.\n무엇을 도와드릴까요?""},{""type"":""card"",""value"":[{""type"":""buttons"",""value"":[{""action"":""dialogFlowButton"",""label"":""상품"",""value"":""1/5"",""data"":null,""sessionId"":""a05fbfe3-246d-4504-8bdb-4b92533fd0a3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""행사"",""value"":""13/4"",""data"":null,""sessionId"":""a05fbfe3-246d-4504-8bdb-4b92533fd0a3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""매장안내"",""value"":""26/3"",""data"":null,""sessionId"":""a05fbfe3-246d-4504-8bdb-4b92533fd0a3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""교환/환불"",""value"":""41/6"",""data"":null,""sessionId"":""a05fbfe3-246d-4504-8bdb-4b92533fd0a3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""계산"",""value"":""50/2"",""data"":null,""sessionId"":""a05fbfe3-246d-4504-8bdb-4b92533fd0a3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""주차"",""value"":""60/4"",""data"":null,""sessionId"":""a05fbfe3-246d-4504-8bdb-4b92533fd0a3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""상품권"",""value"":""67/4"",""data"":null,""sessionId"":""a05fbfe3-246d-4504-8bdb-4b92533fd0a3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""이마티콘"",""value"":""85/4"",""data"":null,""sessionId"":""a05fbfe3-246d-4504-8bdb-4b92533fd0a3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""포인트"",""value"":""90/2"",""data"":null,""sessionId"":""a05fbfe3-246d-4504-8bdb-4b92533fd0a3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""쿠폰"",""value"":""105/5"",""data"":null,""sessionId"":""a05fbfe3-246d-4504-8bdb-4b92533fd0a3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""와인그랩"",""value"":""186/4"",""data"":null,""sessionId"":""a05fbfe3-246d-4504-8bdb-4b92533fd0a3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""오더픽"",""value"":""150/4"",""data"":null,""sessionId"":""a05fbfe3-246d-4504-8bdb-4b92533fd0a3"",""badge"":null},{""action"":""dialogFlowButton"",""label"":""디지털그랩"",""value"":""203/4"",""data"":null,""sessionId"":""a05fbfe3-246d-4504-8bdb-4b92533fd0a3"",""badge"":null}]}]}]}",
