"부채보유 여부별","소득5분위별","자산5분위별","자산, 부채, 소득 분류별",2023,2024,2025
"전체","전체","전체","가구분포 (%)",100.0,100.0,100.0
"전체","전체","전체","가구원수 (명)",2.4,2.4,2.3
"전체","전체","전체","가구주 연령 (세)",55.0,54.9,55.3
"전체","전체","전체","경상소득(전년도) (만원)",6762,7185,7427
"전체","전체","전체","자산 (만원)",52727,54022,56678
"전체","전체","전체","부채 (만원)",9186,9128,9534
"전체","전체","전체","원리금상환액(전년도) (만원)",1259,1250,1328
"전체","전체","전체","순자산액 (만원)",43540,44894,47144
"전체","전체","자산1분위","가구분포 (%)",20.0,20.0,20.0
"전체","전체","자산1분위","가구원수 (명)",1.6,1.6,1.5
"전체","전체","자산1분위","가구주 연령 (세)",56.9,56.0,56.2
"전체","전체","자산1분위","경상소득(전년도) (만원)",2831,3010,3044
"전체","전체","자산1분위","자산 (만원)",2701,2664,2588
"전체","전체","자산1분위","부채 (만원)",985,938,835
"전체","전체","자산1분위","원리금상환액(전년도) (만원)",332,350,342
"전체","전체","자산1분위","순자산액 (만원)",1715,1726,1753
"전체","전체","자산2분위","가구분포 (%)",20.0,20.0,20.0
"전체","전체","자산2분위","가구원수 (명)",2.1,2.0,1.9
"전체","전체","자산2분위","가구주 연령 (세)",54.5,54.5,54.6
"전체","전체","자산2분위","경상소득(전년도) (만원)",4463,4602,4781
"전체","전체","자산2분위","자산 (만원)",14222,14430,14049
"전체","전체","자산2분위","부채 (만원)",2850,2787,2572
"전체","전체","자산2분위","원리금상환액(전년도) (만원)",704,716,713
"전체","전체","자산2분위","순자산액 (만원)",11372,11643,11477
"전체","전체","자산3분위","가구분포 (%)",20.0,20.0,20.0
"전체","전체","자산3분위","가구원수 (명)",2.6,2.5,2.4
"전체","전체","자산3분위","가구주 연령 (세)",53.8,53.4,54.5
"전체","전체","자산3분위","경상소득(전년도) (만원)",6109,6492,6591
"전체","전체","자산3분위","자산 (만원)",30473,30857,30658
"전체","전체","자산3분위","부채 (만원)",5842,5926,5761
"전체","전체","자산3분위","원리금상환액(전년도) (만원)",1097,1078,1110
"전체","전체","자산3분위","순자산액 (만원)",24631,24931,24897
"전체","전체","자산4분위","가구분포 (%)",20.0,20.0,20.0
"전체","전체","자산4분위","가구원수 (명)",2.9,2.8,2.8
"전체","전체","자산4분위","가구주 연령 (세)",53.6,54.1,54.2
"전체","전체","자산4분위","경상소득(전년도) (만원)",8246,8447,8866
"전체","전체","자산4분위","자산 (만원)",57009,56954,58424
"전체","전체","자산4분위","부채 (만원)",10269,10272,10643
"전체","전체","자산4분위","원리금상환액(전년도) (만원)",1717,1719,1649
"전체","전체","자산4분위","순자산액 (만원)",46740,46682,47781
"전체","전체","자산5분위","가구분포 (%)",20.0,20.0,20.0
"전체","전체","자산5분위","가구원수 (명)",3.0,3.0,3.0
"전체","전체","자산5분위","가구주 연령 (세)",56.1,56.6,56.9
"전체","전체","자산5분위","경상소득(전년도) (만원)",12160,13375,13852
"전체","전체","자산5분위","자산 (만원)",159196,165199,177615
"전체","전체","자산5분위","부채 (만원)",25981,25718,27849
"전체","전체","자산5분위","원리금상환액(전년도) (만원)",2444,2388,2823
"전체","전체","자산5분위","순자산액 (만원)",133215,139481,149766
"전체","소득1분위","전체","가구분포 (%)",20.0,20.0,20.0
"전체","소득1분위","전체","가구원수 (명)",1.4,1.3,1.3
"전체","소득1분위","전체","가구주 연령 (세)",65.8,65.9,65.6
"전체","소득1분위","전체","경상소득(전년도) (만원)",1405,1505,1552
"전체","소득1분위","전체","자산 (만원)",17287,16948,15913
